variant,strategy,scaling,eom,return,cumulative_wealth,drawdown,rolling_sharpe_12m,rolling_return_12m
linear,long_short,scaled,2023-10-31,-0.041049,3.162238,-0.041049,1.7684,18.6636
linear,long_short,scaled,2023-11-30,0.030281,3.257994,-0.01201,1.6647,16.6731
linear,long_short,scaled,2023-12-31,0.065299,3.470738,0.0,1.8744,21.1078
linear,long_short,scaled,2024-01-31,-0.026116,3.380098,-0.026116,1.3571,16.3667
linear,long_short,scaled,2024-02-29,0.050879,3.552075,0.0,1.4231,17.6597
linear,long_short,scaled,2024-03-31,0.066586,3.788593,0.0,1.6265,21.8631
linear,long_short,scaled,2024-04-30,0.072465,4.063134,0.0,1.9647,28.3228
linear,long_short,scaled,2024-05-31,0.03298,4.197138,0.0,2.0194,29.1728
linear,long_short,scaled,2024-06-30,0.026279,4.307435,0.0,2.482,33.7967
linear,long_short,scaled,2024-07-31,0.027595,4.4263,0.0,2.8965,37.5631
linear,long_short,scaled,2024-08-31,-0.038813,4.254501,-0.038813,2.3148,33.576
linear,long_short,scaled,2024-09-30,-0.002164,4.245295,-0.040893,1.8827,26.4224
linear,long_short,scaled,2024-10-31,-0.01518,4.180851,-0.055452,2.2377,29.0093
linear,long_short,scaled,2024-11-30,0.057922,4.423013,-0.000743,2.3723,31.7733
linear,long_short,scaled,2024-12-31,0.014138,4.485543,0.0,2.093,26.6572
linear,long_short,scaled,2025-01-31,0.0401,4.665413,0.0,2.8511,33.2787
linear,long_short,scaled,2025-02-28,0.065402,4.970541,0.0,2.8775,34.731
linear,long_short,scaled,2025-03-31,-0.017173,4.885181,-0.017173,2.1734,26.3551
linear,long_short,scaled,2025-04-30,-0.011614,4.828447,-0.028587,1.6046,17.9472
linear,long_short,scaled,2025-05-31,-0.027351,4.696385,-0.055156,1.015,11.9141
linear,long_short,scaled,2025-06-30,0.030747,4.840786,-0.026105,1.0463,12.3609
linear,long_short,scaled,2025-07-31,-0.011577,4.784743,-0.03738,0.7133,8.4437
linear,long_short,scaled,2025-08-31,0.011846,4.841425,-0.025976,1.2592,13.5096
linear,long_short,scaled,2025-09-30,-0.01611,4.763428,-0.041668,1.1007,12.115
linear,long_short,scaled,2025-10-31,0.021865,4.86758,-0.020714,1.4788,15.8195
linear,long_short,scaled,2025-11-30,0.0131,4.931344,-0.007886,1.1899,11.3373
linear,long_short,scaled,2025-12-31,0.018892,5.024509,0.0,1.235,11.8128
linear,country_composite_long_only,unscaled,2021-01-31,0.048522,1.048522,0.0,,
linear,country_composite_long_only,unscaled,2021-02-28,0.054272,1.105428,0.0,,
linear,country_composite_long_only,unscaled,2021-03-31,0.043408,1.153412,0.0,,
linear,country_composite_long_only,unscaled,2021-04-30,0.0446,1.204855,0.0,,
linear,country_composite_long_only,unscaled,2021-05-31,0.054307,1.270287,0.0,,
linear,country_composite_long_only,unscaled,2021-06-30,0.052004,1.336347,0.0,,
linear,country_composite_long_only,unscaled,2021-07-31,0.044182,1.39539,0.0,,
linear,country_composite_long_only,unscaled,2021-08-31,0.02171,1.425683,0.0,,
linear,country_composite_long_only,unscaled,2021-09-30,0.00802,1.437117,0.0,,
linear,country_composite_long_only,unscaled,2021-10-31,0.001115,1.438719,0.0,,
linear,country_composite_long_only,unscaled,2021-11-30,0.0669,1.534969,0.0,,
linear,country_composite_long_only,unscaled,2021-12-31,0.000464,1.535682,0.0,5.5761,43.9505
linear,country_composite_long_only,unscaled,2022-01-31,0.041982,1.600153,0.0,5.5502,43.2964
linear,country_composite_long_only,unscaled,2022-02-28,0.050056,1.680251,0.0,5.5649,42.8749
linear,country_composite_long_only,unscaled,2022-03-31,-0.028994,1.631533,-0.028994,3.5697,35.6346
linear,country_composite_long_only,unscaled,2022-04-30,0.029557,1.679757,-0.000294,3.465,34.1303
linear,country_composite_long_only,unscaled,2022-05-31,-0.035848,1.619541,-0.036131,2.2249,25.1148
linear,country_composite_long_only,unscaled,2022-06-30,0.02374,1.657988,-0.01325,2.0672,22.2884
linear,country_composite_long_only,unscaled,2022-07-31,0.012727,1.679089,-0.000691,1.8372,19.1428
linear,country_composite_long_only,unscaled,2022-08-31,-0.044523,1.604332,-0.045183,1.0429,12.5196
linear,country_composite_long_only,unscaled,2022-09-30,0.00676,1.615177,-0.038729,1.0321,12.3936
linear,country_composite_long_only,unscaled,2022-10-31,0.100306,1.777189,0.0,1.4954,22.3128
linear,country_composite_long_only,unscaled,2022-11-30,0.015829,1.80532,0.0,1.2324,17.2056
linear,country_composite_long_only,unscaled,2022-12-31,0.077812,1.945795,0.0,1.6398,24.9404
linear,country_composite_long_only,unscaled,2023-01-31,0.004936,1.9554,0.0,1.4067,21.2358
linear,country_composite_long_only,unscaled,2023-02-28,0.021489,1.99742,0.0,1.2508,18.3791
linear,country_composite_long_only,unscaled,2023-03-31,0.025127,2.047608,0.0,1.7131,23.7912
linear,country_composite_long_only,unscaled,2023-04-30,-0.004392,2.038614,-0.004392,1.4525,20.3962
linear,country_composite_long_only,unscaled,2023-05-31,0.01004,2.059083,0.0,1.9431,24.9851
linear,country_composite_long_only,unscaled,2023-06-30,0.015838,2.091694,0.0,1.881,24.1949
linear,country_composite_long_only,unscaled,2023-07-31,-0.024125,2.041233,-0.024125,1.5078,20.5097
linear,country_composite_long_only,unscaled,2023-08-31,0.009784,2.061205,-0.014576,2.1807,25.9404
linear,country_composite_long_only,unscaled,2023-09-30,-0.009603,2.041411,-0.024039,1.9879,24.3041
linear,country_composite_long_only,unscaled,2023-10-31,0.056464,2.156678,0.0,2.0753,19.9199
linear,country_composite_long_only,unscaled,2023-11-30,0.038631,2.239992,0.0,2.2547,22.2001
linear,country_composite_long_only,unscaled,2023-12-31,0.010263,2.262981,0.0,2.0796,15.4453
linear,country_composite_long_only,unscaled,2024-01-31,0.057491,2.393082,0.0,2.4116,20.7007
linear,country_composite_long_only,unscaled,2024-02-29,0.017975,2.436097,0.0,2.3739,20.3493
linear,country_composite_long_only,unscaled,2024-03-31,0.021614,2.488751,0.0,2.341,19.998
linear,country_composite_long_only,unscaled,2024-04-30,0.01662,2.530113,0.0,2.6851,22.0992
linear,country_composite_long_only,unscaled,2024-05-31,-0.009402,2.506326,-0.009402,2.3262,20.155
linear,country_composite_long_only,unscaled,2024-06-30,0.025156,2.569374,0.0,2.4229,21.0868
linear,country_composite_long_only,unscaled,2024-07-31,0.013365,2.603714,0.0,3.328,24.8358
