variant,strategy,scaling,eom,return,cumulative_wealth,drawdown,rolling_sharpe_12m,rolling_return_12m
ple,long_short,scaled,2025-04-30,0.008796,4.76476,0.0,3.168,23.6333
ple,long_short,scaled,2025-05-31,0.02433,4.880689,0.0,3.2003,23.9146
ple,long_short,scaled,2025-06-30,0.009019,4.924709,0.0,2.8912,20.9628
ple,long_short,scaled,2025-07-31,0.121299,5.522073,0.0,2.4323,30.8632
ple,long_short,scaled,2025-08-31,0.032469,5.701368,0.0,2.9715,35.4833
ple,long_short,scaled,2025-09-30,-0.004563,5.67535,-0.004563,2.7067,33.4605
ple,long_short,scaled,2025-10-31,0.025015,5.817317,0.0,3.1027,36.6038
ple,long_short,scaled,2025-11-30,0.018359,5.924116,0.0,2.8473,31.9522
ple,long_short,scaled,2025-12-31,-0.014275,5.839549,-0.014275,2.5269,29.8445
ple,country_composite_long_only,unscaled,2021-01-31,0.06097,1.06097,0.0,,
ple,country_composite_long_only,unscaled,2021-02-28,0.070059,1.135301,0.0,,
ple,country_composite_long_only,unscaled,2021-03-31,0.050712,1.192875,0.0,,
ple,country_composite_long_only,unscaled,2021-04-30,0.049411,1.251816,0.0,,
ple,country_composite_long_only,unscaled,2021-05-31,0.04581,1.309162,0.0,,
ple,country_composite_long_only,unscaled,2021-06-30,0.024666,1.341453,0.0,,
ple,country_composite_long_only,unscaled,2021-07-31,0.05496,1.415179,0.0,,
ple,country_composite_long_only,unscaled,2021-08-31,0.010064,1.429422,0.0,,
ple,country_composite_long_only,unscaled,2021-09-30,-0.019027,1.402224,-0.019027,,
ple,country_composite_long_only,unscaled,2021-10-31,-0.009176,1.389357,-0.028029,,
ple,country_composite_long_only,unscaled,2021-11-30,0.067466,1.483091,0.0,,
ple,country_composite_long_only,unscaled,2021-12-31,0.004499,1.489763,0.0,3.844,41.0414
ple,country_composite_long_only,unscaled,2022-01-31,0.041344,1.551356,0.0,3.7889,39.0788
ple,country_composite_long_only,unscaled,2022-02-28,0.04768,1.625325,0.0,3.8185,36.8408
ple,country_composite_long_only,unscaled,2022-03-31,-0.029904,1.576721,-0.029904,2.5963,28.7792
ple,country_composite_long_only,unscaled,2022-04-30,0.032305,1.627657,0.0,2.5099,27.0686
ple,country_composite_long_only,unscaled,2022-05-31,-0.034438,1.571604,-0.034438,1.6095,19.0438
ple,country_composite_long_only,unscaled,2022-06-30,0.024502,1.610111,-0.01078,1.6083,19.0274
ple,country_composite_long_only,unscaled,2022-07-31,0.0128,1.630721,0.0,1.3423,14.8115
ple,country_composite_long_only,unscaled,2022-08-31,-0.048507,1.551619,-0.048507,0.7102,8.9544
ple,country_composite_long_only,unscaled,2022-09-30,0.001523,1.553982,-0.047058,0.8949,11.0094
ple,country_composite_long_only,unscaled,2022-10-31,0.088054,1.690816,0.0,1.4412,20.7324
ple,country_composite_long_only,unscaled,2022-11-30,0.002077,1.694329,0.0,1.0636,14.1935
ple,country_composite_long_only,unscaled,2022-12-31,0.063717,1.802287,0.0,1.4094,20.1154
ple,country_composite_long_only,unscaled,2023-01-31,0.005082,1.811446,0.0,1.1736,16.4891
ple,country_composite_long_only,unscaled,2023-02-28,0.027086,1.860511,0.0,1.0569,14.4297
ple,country_composite_long_only,unscaled,2023-03-31,0.031029,1.91824,0.0,1.5845,20.523
ple,country_composite_long_only,unscaled,2023-04-30,-0.000253,1.917755,-0.000253,1.3339,17.2672
ple,country_composite_long_only,unscaled,2023-05-31,0.023247,1.962337,0.0,1.9511,23.0357
ple,country_composite_long_only,unscaled,2023-06-30,0.031942,2.025017,0.0,2.004,23.7797
ple,country_composite_long_only,unscaled,2023-07-31,-0.029099,1.966092,-0.029099,1.5261,19.5898
ple,country_composite_long_only,unscaled,2023-08-31,0.007266,1.980378,-0.022044,2.3268,25.1671
ple,country_composite_long_only,unscaled,2023-09-30,-0.020627,1.939529,-0.042216,2.0031,22.9521
ple,country_composite_long_only,unscaled,2023-10-31,0.073184,2.081471,0.0,2.036,21.4652
ple,country_composite_long_only,unscaled,2023-11-30,0.040116,2.164972,0.0,2.3824,25.269
ple,country_composite_long_only,unscaled,2023-12-31,0.018301,2.204593,0.0,2.1746,20.7274
ple,country_composite_long_only,unscaled,2024-01-31,0.062152,2.341613,0.0,2.5408,26.4344
ple,country_composite_long_only,unscaled,2024-02-29,0.016871,2.381119,0.0,2.4436,25.413
ple,country_composite_long_only,unscaled,2024-03-31,0.020909,2.430905,0.0,2.3589,24.4009
ple,country_composite_long_only,unscaled,2024-04-30,-0.000159,2.430519,-0.000159,2.3602,24.4103
ple,country_composite_long_only,unscaled,2024-05-31,-0.009918,2.406412,-0.010075,1.9597,21.0938
ple,country_composite_long_only,unscaled,2024-06-30,0.02677,2.470832,0.0,1.9229,20.5767
ple,country_composite_long_only,unscaled,2024-07-31,0.014981,2.507849,0.0,2.6415,24.9847
ple,country_composite_long_only,unscaled,2024-08-31,0.103608,2.767682,0.0,2.7916,34.6189
ple,country_composite_long_only,unscaled,2024-09-30,0.010156,2.795792,0.0,3.3058,37.6972
ple,country_composite_long_only,unscaled,2024-10-31,0.003384,2.805252,0.0,2.8626,30.7172
ple,country_composite_long_only,unscaled,2024-11-30,0.023023,2.869837,0.0,2.7331,29.0079
ple,country_composite_long_only,unscaled,2024-12-31,0.019438,2.92562,0.0,2.7454,29.1215
ple,country_composite_long_only,unscaled,2025-01-31,-0.002896,2.917147,-0.002896,2.2497,22.6167
ple,country_composite_long_only,unscaled,2025-02-28,-0.002281,2.910492,-0.005171,2.0149,20.7014
ple,country_composite_long_only,unscaled,2025-03-31,0.010305,2.940484,0.0,1.9092,19.6411
ple,country_composite_long_only,unscaled,2025-04-30,0.058283,3.111865,0.0,2.337,25.4853
ple,country_composite_long_only,unscaled,2025-05-31,0.04641,3.256286,0.0,2.9357,31.1181
ple,country_composite_long_only,unscaled,2025-06-30,0.064892,3.467592,0.0,3.0924,34.9302
ple,country_composite_long_only,unscaled,2025-07-31,0.041899,3.612881,0.0,3.3445,37.622
ple,country_composite_long_only,unscaled,2025-08-31,0.001515,3.618353,0.0,3.2808,27.4126
ple,country_composite_long_only,unscaled,2025-09-30,0.013762,3.668148,0.0,3.3448,27.7732
ple,country_composite_long_only,unscaled,2025-10-31,-0.006401,3.64467,-0.006401,3.1122,26.7947
ple,country_composite_long_only,unscaled,2025-11-30,0.020979,3.72113,0.0,3.0883,26.5903
ple,country_composite_long_only,unscaled,2025-12-31,0.038417,3.864084,0.0,3.2548,28.4882
ple,country_composite_long_only,scaled,2021-01-31,0.030143,1.030143,0.0,,
ple,country_composite_long_only,scaled,2021-02-28,0.034637,1.065824,0.0,,
ple,country_composite_long_only,scaled,2021-03-31,0.025072,1.092546,0.0,,
ple,country_composite_long_only,scaled,2021-04-30,0.024428,1.119235,0.0,,
ple,country_composite_long_only,scaled,2021-05-31,0.022648,1.144584,0.0,,
ple,country_composite_long_only,scaled,2021-06-30,0.012195,1.158542,0.0,,
ple,country_composite_long_only,scaled,2021-07-31,0.027367,1.190248,0.0,,
ple,country_composite_long_only,scaled,2021-08-31,0.005011,1.196212,0.0,,
ple,country_composite_long_only,scaled,2021-09-30,-0.009474,1.184879,-0.009474,,
ple,country_composite_long_only,scaled,2021-10-31,-0.004569,1.179465,-0.014,,
ple,country_composite_long_only,scaled,2021-11-30,0.033594,1.219088,0.0,,
ple,country_composite_long_only,scaled,2021-12-31,0.00224,1.221819,0.0,3.8396,20.3292
ple,country_composite_long_only,scaled,2022-01-31,0.021153,1.247664,0.0,3.7923,19.4302
ple,country_composite_long_only,scaled,2022-02-28,0.024394,1.2781,0.0,3.8231,18.4059
ple,country_composite_long_only,scaled,2022-03-31,-0.0153,1.258546,-0.0153,2.5847,14.3688
ple,country_composite_long_only,scaled,2022-04-30,0.016528,1.279347,0.0,2.5051,13.5787
ple,country_composite_long_only,scaled,2022-05-31,-0.017619,1.256806,-0.017619,1.6,9.552
ple,country_composite_long_only,scaled,2022-06-30,0.012536,1.272561,-0.005304,1.605,9.5861
ple,country_composite_long_only,scaled,2022-07-31,0.006603,1.280964,0.0,1.3444,7.5098
ple,country_composite_long_only,scaled,2022-08-31,-0.025024,1.248909,-0.025024,0.7034,4.5062
ple,country_composite_long_only,scaled,2022-09-30,0.000786,1.24989,-0.024258,0.8844,5.5322
ple,country_composite_long_only,scaled,2022-10-31,0.045425,1.306667,0.0,1.4317,10.5317
