n_firms,b1_base,r2_base,b1_full,b2_full,r2_full,corr_base_path2,rank_corr_base_path2,rank_corr_base,rank_corr_path2,rank_corr_combined,entropy_ratio,missingness_excess,variant,eom,country
710,0.023612203161035707,0.004420765929765813,0.0254013123695857,-0.0056708632828926095,0.004650375370916837,0.31549150795898606,0.29132827111508863,0.08878291558869404,0.110652094768846,0.12009098548435655,,,fourier,2018-04-30,POL
44,0.08235523384706449,0.23865367389589498,0.05057430285739397,0.04324854410117826,0.2689291272846491,0.734843950244808,0.7460183227625087,0.45567300916138126,0.4542635658914728,0.49189570119802684,,,fourier,2018-04-30,QAT
180,0.04278508417943721,0.042648972734084745,0.04590996543142085,-0.0056424076318671934,0.0431632095195259,0.5538205418432974,0.5942611397471115,0.2730145992160252,0.212922209533216,0.2475714271016595,,,fourier,2018-04-30,SAU
671,0.004236638870644072,0.0003220736021751769,0.012829531209420089,-0.016191670931964667,0.00370145569771807,0.53069830623886,0.587687719058529,0.11030345882699541,0.06660332704034902,0.10877247204416905,,,fourier,2018-04-30,THA
392,0.006264646456568138,0.0004916128928894592,-0.014141989650616568,0.03861799221701763,0.01395659182837894,0.5284230208679874,0.5409751022878451,0.0704996236795415,0.2251601603137106,0.2081578067669152,,,fourier,2018-04-30,TUR
1892,0.034020948276164496,0.0297921059365005,0.0011973972423623205,0.05964489586818637,0.09363057850732703,0.5503161763635241,0.5871287785410932,0.1838709676462004,0.32293340079784366,0.3228028323279884,,,fourier,2018-04-30,TWN
270,0.027462547131648748,0.022336733450175728,0.022516577123148446,0.010358319353546605,0.024789956408368896,0.47748769271186287,0.64890175295805,0.17868710285615866,0.12780757547352425,0.13838659576186838,,,fourier,2018-04-30,ZAF
82,0.058300438270672036,0.11232732319577377,0.023933328012017183,0.05097397138010994,0.1591641503535608,0.6742089997728508,0.7295632394074946,0.3206647729127894,0.3021190452868384,0.3077785396327859,,,fourier,2018-05-31,ARE
188,-0.005925898852126738,0.0005462088199307269,0.0002588119726014519,-0.021118635200942964,0.00688841068292978,0.29285561144823724,0.36578370871236954,-0.04858165058415371,-0.11766511891668335,-0.11602165043967295,,,fourier,2018-05-31,BRA
141,0.015495531006035398,0.00838044649566383,0.009874690164765275,0.01179046835074552,0.012129698248041776,0.47672752888657066,0.5767156128258915,0.06075609053911024,0.020807847947107196,0.06847047012982871,,,fourier,2018-05-31,CHL
3321,0.011193130977389039,0.005703060463167597,-0.000327794341565173,0.02171900078689001,0.021133669781559172,0.5304537456392018,0.5533738706770683,0.08029688736787849,0.1995321176926617,0.18509946748713477,,,fourier,2018-05-31,CHN
41,0.03380724173115116,0.048150486005843485,0.06473110562535815,-0.056426715421424696,0.14200079984499392,0.5480358667562432,0.5709059233449478,0.11447987628051096,-0.31921938104398184,-0.17163269122725003,,,fourier,2018-05-31,COL
189,0.021645738466798514,0.014278951914189708,0.031129843056619498,-0.017350156538044503,0.02071172110800268,0.5466293384165138,0.6335946248600224,0.14615972555502232,0.07636644803498106,0.10386782559234968,,,fourier,2018-05-31,EGY
154,-0.003491395793090557,0.00022288073068699177,-0.007765774636961827,0.04941731370343697,0.04453997110866126,0.08649557257442185,0.1366273195495207,-0.02684806332345495,0.18259048817579138,0.18114967606376897,,,fourier,2018-05-31,GRC
30,0.23489603964950956,0.1932778944444551,0.23202825291049872,0.007866062380892797,0.1934658289326363,0.36457716709380156,0.607119021134594,0.43208366047769753,0.48703971822125636,0.5057292277372845,,,fourier,2018-05-31,HUN
510,0.004064025840212173,0.0002175302174670657,-0.02718471529253856,0.06376091023316195,0.04090122076569502,0.49009245662370593,0.5608701935439515,0.005978991704966725,0.18922577426418757,0.17005243705902398,,,fourier,2018-05-31,IDN
3316,0.046622080961571166,0.019400663288529185,0.04005831876748352,0.02534225272320753,0.024748356852997033,0.25900468540720445,0.24073274884919496,0.08367904831364963,0.17311897464150758,0.17884009693851005,,,fourier,2018-05-31,IND
1568,0.016642630536229105,0.006526459975000787,-0.012095835879028672,0.040861747918309765,0.026408662876698408,0.7033097671860631,0.7301018254145197,0.1137454672549535,0.2310109424366935,0.22273999241337405,,,fourier,2018-05-31,KOR
138,0.04760567877435442,0.04231424009709217,0.045769540976452104,0.0041023121944425535,0.04256550709707352,0.447586071188926,0.4419403227021683,0.1703581596798093,0.13371340376128166,0.14315199696796035,,,fourier,2018-05-31,KWT
116,0.03670215563183418,0.043156809906791826,0.04381272438968254,-0.01586045995740089,0.049596267497305835,0.4483204634002908,0.5455887440894938,0.05929343020797293,0.07640794987121824,0.08814823357551994,,,fourier,2018-05-31,MEX
883,0.017686536810937934,0.004804669388039917,0.015738870077642745,0.005394743971476818,0.005193416873210621,0.3610304295424751,0.3930824703781678,0.04597904169934827,0.14686918476280303,0.14484523727099183,,,fourier,2018-05-31,MYS
78,0.04308332263981968,0.01834312392299442,0.08167946719707943,-0.08304525480705448,0.07177487426262796,0.4647603845266286,0.5406618697757938,0.0370014317780116,-0.034749720715965084,0.004237770819020133,,,fourier,2018-05-31,PER
229,0.03320135066752143,0.011991033296720688,0.05355989978721938,-0.033923676152073125,0.020000924437503564,0.6001280353114395,0.6480749053191172,0.16088155646378147,0.03717486235048415,0.046599982013130425,,,fourier,2018-05-31,PHL
705,0.02794584136843595,0.006275159079671133,0.02591310563248713,0.006709825684855436,0.006603711579067473,0.30294911245396,0.2694031494125645,0.07332015309609355,0.14019134999528737,0.14751048859924867,,,fourier,2018-05-31,POL
43,0.05155614169505819,0.1018302519793749,0.023676308149842205,0.03439907540304597,0.11738468159645843,0.8104820614662985,0.836756266988825,0.3350951374207188,0.28903654485049834,0.31108426457263666,,,fourier,2018-05-31,QAT
182,0.020164541763363086,0.005967452241620541,0.045171734603168576,-0.04643275532864664,0.02843137518776917,0.5385679282392255,0.591096522352749,0.08507754069375875,0.051028609164354366,0.06875674621205244,,,fourier,2018-05-31,SAU
675,0.00290001788133849,0.000164752234006027,0.012413235233608752,-0.017483476658955027,0.004379901865036784,0.5441261791253322,0.6023818080015296,0.10495515898055471,0.060218875019937244,0.09887008292285922,,,fourier,2018-05-31,THA
390,0.005756376531956056,0.00033129430166189966,0.0012639598023337496,0.008777385160237655,0.0008997906034727832,0.5118172038263363,0.5090887665776389,0.09659523205040871,0.09017511882450126,0.09378592677034263,,,fourier,2018-05-31,TUR
