variant,characteristic,mean_abs_grad
per_feature,fnl_gr1a,0.00010695651129935867
per_feature,nfna_gr1a,8.426265713448325e-05
per_feature,tax_gr1a,4.551075583246227e-05
per_feature,be_gr1a,1.252345919359262e-05
per_feature,ebit_sale,3.02218014076061e-05
per_feature,ope_be,9.249357356263017e-05
per_feature,ni_be,2.1935411635543762e-05
per_feature,ebit_bev,3.182456034361773e-05
per_feature,dbnetis_at,7.412711334230457e-05
per_feature,at_turnover,5.561786775918637e-05
per_feature,sale_bev,8.004551206492277e-05
per_feature,cash_at,2.534227086471219e-05
per_feature,op_atl1,3.394982895163897e-05
per_feature,ocf_at,3.35803626512643e-05
per_feature,op_at,3.3418125494790725e-05
per_feature,ocf_at_chg1,3.765767934661806e-05
per_feature,at_be,5.532454585894208e-05
per_feature,at_me,0.0001000768303250273
per_feature,be_me,9.897785642048497e-05
per_feature,debt_me,5.86918515303599e-05
per_feature,netdebt_me,3.854177212512393e-05
per_feature,sale_me,0.00010936796524523137
per_feature,ni_me,7.328037132538157e-05
per_feature,ocf_me,0.00011187311121223807
per_feature,bev_mev,7.271212452906183e-05
per_feature,ebitda_mev,6.410889035275129e-05
per_feature,qmj_prof,0.00025813136759097685
per_feature,qmj_safety,0.00012004044100952643
per_feature,lt_gr1,4.8712423085817144e-05
per_feature,be_gr1,2.5786388766088437e-05
per_feature,cash_gr1a,6.488874674990561e-05
per_feature,debtst_gr1a,0.00012137710104677048
per_feature,ap_gr1a,3.413772815292758e-05
per_feature,debtlt_gr1a,7.872233723901447e-05
per_feature,fna_gr1a,0.00011415078362915662
per_feature,ebitda_gr1a,4.7176147108984896e-05
per_feature,ebit_gr1a,3.7395434725719185e-05
per_feature,ni_gr1a,3.855507774157256e-05
per_feature,nix_gr1a,3.660913054773118e-05
per_feature,dp_gr1a,4.1807036583729015e-05
per_feature,ocf_gr1a,8.555781238101189e-05
per_feature,dltnetis_gr1a,7.988853519539891e-05
per_feature,dbnetis_gr1a,4.9319738045596765e-05
per_feature,xido_at,8.018283445683967e-05
per_feature,ebitda_sale,2.6960362180640614e-05
per_feature,pi_sale,3.286480859969743e-05
per_feature,ni_sale,3.1558301834593294e-05
per_feature,nix_sale,2.656194496618507e-05
