n_firms,b1_base,r2_base,b1_full,b2_full,r2_full,corr_base_path2,rank_corr_base_path2,rank_corr_base,rank_corr_path2,rank_corr_combined,entropy_ratio,missingness_excess,variant,eom,split,vol_regime,period
14706,0.040822929968349485,0.012477889658979557,0.029450225718761783,0.027085942557909345,0.017002617828002387,0.41987478284188806,0.6573213428916884,0.1467952904820357,0.18481645034597594,0.18250853100564057,0.9988850376900366,-0.0006614887386141512,per_feature,2017-07-31,val,high,early
14714,0.05088967132389382,0.020754792428615665,0.035872834320822326,0.03430551943423264,0.02837918909356063,0.4377382197006921,0.6759625152616275,0.2145583671237389,0.23513551771599608,0.23589468645539316,0.99886108347571,-0.0007607973613717752,per_feature,2017-08-31,val,low,early
14757,0.0390846407524844,0.012718029709052225,0.026470264475246474,0.028283564208725527,0.018053288796304634,0.4459966991475107,0.6726530946461238,0.1713730305243934,0.2223162966761733,0.21939381694894727,0.9988843437876663,-0.0007005795744822594,per_feature,2017-09-30,val,low,early
14809,0.03654533595820056,0.01128726441026906,0.029569104495811023,0.01779406843965505,0.013551890355404161,0.3920537614001585,0.6361122126354208,0.15874418230547252,0.1867397989380236,0.18857591202985696,0.9989080970747851,-0.0006456233511880087,per_feature,2017-10-31,val,low,early
14948,0.029517565635180817,0.008044252406204322,0.023275545567847555,0.015792420606334165,0.009987142485491707,0.39525416799118274,0.6400850925494543,0.08758577522306271,0.13460312510184738,0.13433683461171453,0.9989394661310789,-0.0006288824984422335,per_feature,2017-11-30,val,low,early
14948,0.038570781527432776,0.014879074221563648,0.03283746362533222,0.014374821433926443,0.016616956003195904,0.3988444606734562,0.6398431052340249,0.14054049142823477,0.16546769097952785,0.16994710614868308,0.9989373741487492,-0.000577397137818967,per_feature,2017-12-31,val,low,early
15107,0.03352000705262566,0.013717607663656928,0.02924308850790182,0.010411396132654231,0.014817676158699111,0.41079202925561087,0.6505036166328352,0.11864921305865629,0.14091348521303604,0.14578786283407846,0.9989813021035339,-0.0005393964875917254,per_feature,2018-01-31,val,low,early
15031,0.030098447182182384,0.010618413139172556,0.026877067156376368,0.008423324391353942,0.011328425010785459,0.382435707819521,0.6262745465117433,0.12495164000066428,0.13201745651990546,0.13686376293897745,0.9989987503527087,-0.000573891704989441,per_feature,2018-02-28,val,low,early
15022,0.04263828937624264,0.023876480866269145,0.04088900639693143,0.004773027725014689,0.024135491373074025,0.36649336230349766,0.6176545818631093,0.17648020412973756,0.15352898036317103,0.16548293629435878,0.9989734988688606,-0.0006280498942437657,per_feature,2018-03-31,val,low,early
15096,0.05690263715084388,0.04815211307308953,0.058731414556701785,-0.0045444873779170985,0.04840950558651946,0.4024166542394862,0.6472912935943812,0.21709147878235108,0.1465409502235614,0.16644457613250124,0.9989211776666246,-0.0005109831098617846,per_feature,2018-04-30,val,low,early
