variant,trial_number,n_epochs_trained,best_epoch,best_epoch_fraction,final_gap_loss,mean_gap_loss_last_quarter
periodic,16,14,5,0.35714285714285715,1.127453458713486,1.0070011592750985
periodic,17,6,1,0.16666666666666666,0.9211915691774929,0.9211915691774929
periodic,18,9,3,0.3333333333333333,-0.1774216503444468,0.17043191031885468
periodic,19,6,1,0.16666666666666666,1.250388419841017,1.250388419841017
periodic,20,16,8,0.5,0.8403803874853082,0.7755124338028321
periodic,21,6,4,0.6666666666666666,-0.11528306964725732,-0.11528306964725732
periodic,22,6,1,0.16666666666666666,0.5855064293946184,0.5855064293946184
periodic,23,19,4,0.21052631578947367,0.6143030083866694,0.9383023358069109
periodic,24,6,5,0.8333333333333334,0.20430482005670902,0.20430482005670902
periodic,25,6,2,0.3333333333333333,-1.0684629423041188,-1.0684629423041188
periodic,26,14,4,0.2857142857142857,0.7071793442932032,0.6751499364025048
periodic,27,6,4,0.6666666666666666,0.286039821295038,0.286039821295038
periodic,28,14,4,0.2857142857142857,1.2888304421471226,1.2510108589554434
periodic,29,19,11,0.5789473684210527,1.2533111690859577,1.0883457904154925
periodic,30,6,3,0.5,-0.12367741367853591,-0.12367741367853591
periodic,31,14,4,0.2857142857142857,0.3734726949343605,0.3544322763170516
periodic,32,15,4,0.26666666666666666,0.4140897380247238,0.383172947143712
periodic,33,6,4,0.6666666666666666,0.0423253690557821,0.0423253690557821
periodic,34,15,7,0.4666666666666667,0.7885494934357999,0.6995345476995071
periodic,35,18,4,0.2222222222222222,0.3394311910118196,0.2967086956097138
periodic,36,6,3,0.5,0.4247777172852132,0.4247777172852132
periodic,37,21,3,0.14285714285714285,1.1566410802046043,1.2986706246031885
periodic,38,16,4,0.25,1.0197124504861201,0.9531400396639671
periodic,39,19,3,0.15789473684210525,1.5886105867937976,1.4099307593293597
periodic,40,17,2,0.11764705882352941,0.9922089192439758,0.9060921575765066
periodic,41,6,4,0.6666666666666666,0.18345946725162232,0.18345946725162232
periodic,42,17,3,0.17647058823529413,1.2136646142894667,0.9515299543441322
periodic,43,6,6,1.0,0.09394348318732926,0.09394348318732926
periodic,44,14,4,0.2857142857142857,0.8240501272817334,0.7129516879857946
periodic,45,15,7,0.4666666666666667,0.7424258929159905,0.7203454962581711
periodic,46,6,4,0.6666666666666666,0.011709221541171932,0.011709221541171932
periodic,47,14,2,0.14285714285714285,1.0422601506446623,1.1364028935106016
periodic,48,6,2,0.3333333333333333,0.588082443437879,0.588082443437879
periodic,49,14,4,0.2857142857142857,0.8549336088654986,0.8840509528056756
periodic,50,14,4,0.2857142857142857,1.2753510160379053,1.1794375712805916
ple,1,15,2,0.13333333333333333,1.6860344739895525,1.4715181575095153
ple,2,18,10,0.5555555555555556,0.5058603385050361,0.5360655929678904
ple,3,19,11,0.5789473684210527,1.0072195514234148,0.9370561391172703
ple,4,14,6,0.42857142857142855,1.0790436040063107,0.9905321402740097
ple,5,14,1,0.07142857142857142,12.627694671864193,10.260438029697688
ple,6,14,1,0.07142857142857142,0.8698715201804939,0.09222613071245782
ple,7,41,33,0.8048780487804879,0.906086276349962,0.8616182081694956
ple,8,21,13,0.6190476190476191,-0.3286824625103719,-0.11383526854771416
ple,9,20,3,0.15,0.2077988345501205,0.2268414478151807
ple,10,16,8,0.5,0.43397875095561467,0.4796938316539574
ple,11,23,4,0.17391304347826086,1.481222807453476,1.3360433012408772
ple,12,19,3,0.15789473684210525,1.30685530114378,1.3493271389920534
ple,13,21,13,0.6190476190476191,1.0674617329419274,0.9347293727573505
ple,14,14,5,0.35714285714285715,1.0746434380921226,1.0484832322705728
ple,15,6,1,0.16666666666666666,1.1110275044505087,1.1110275044505087
ple,16,18,10,0.5555555555555556,0.7676589043485742,0.4766997851286313
