variant,number,value,datetime_start,datetime_complete,duration,params_d_ff_mult,params_d_model,params_dropout,params_grad_clip,params_lambda_aux,params_lambda_aux2,params_lr,params_n_mlp_layers,params_path2_d_ff,params_path2_n_heads,params_path2_n_layers,params_periodic_num_freq,params_weight_decay,user_attrs_best_base_corr_6m,user_attrs_best_corr_6m,user_attrs_best_epoch,user_attrs_best_path2_corr_6m,user_attrs_best_train_loss,user_attrs_best_val_loss,user_attrs_last_base_corr_6m,user_attrs_last_corr_6m,user_attrs_last_epoch,user_attrs_last_path2_corr_6m,user_attrs_last_train_loss,user_attrs_last_val_loss,user_attrs_n_epochs_trained,user_attrs_val_sharpe_ls,state
periodic,38,1.4237604238100445,2026-07-13 18:58:51.778974,2026-07-13 19:02:40.912708,0 days 00:03:49.133734,2,96,0.024669139175336807,1.364956985746387,0.21904131740628158,0.20254029301636822,0.0011306034910843535,3,256,1,3,64,3.2769047359805235e-06,0.11615313572110608,0.12186602149158716,7.0,0.12003566964219013,1.3159314770074118,1.1566585008054973,,,,,,,15,1.4237604238100445,COMPLETE
periodic,39,0.9417442627988118,2026-07-13 19:02:41.030974,2026-07-13 19:05:43.321165,0 days 00:03:02.290191,2,96,0.09849624511613538,0.8308993806331582,0.42666379535925125,0.2544555289284541,0.0028548025276569984,3,256,1,2,64,1.9571737805603555e-05,0.13059340021573007,0.09626676303644975,6.0,0.06588915024634237,1.5921690124604437,1.7445383419593175,,,,,,,14,0.9417442627988118,COMPLETE
periodic,40,0.0384551293333061,2026-07-13 19:05:43.439847,2026-07-13 19:07:11.961743,0 days 00:01:28.521896,2,96,0.06702272611100982,0.1477196954206538,0.14275977093838396,0.3389265493323274,0.004511823892956543,3,256,1,3,64,7.85011570565468e-05,,,,,,,0.001758107677839386,0.0384551293333061,6.0,0.042896505227933326,1.5821783290141158,1.977035025258859,6,,PRUNED
periodic,41,1.6574021055193253,2026-07-13 19:07:12.079164,2026-07-13 19:11:02.912246,0 days 00:03:50.833082,2,96,0.11660407853790378,0.5569541279820147,0.46357425174544903,0.31577446193341585,0.0005711738607557465,3,256,1,1,64,3.30317259737696e-06,0.13013824804996452,0.14973008909728378,10.0,0.14924787669927658,0.8373805149273562,1.1566590134675303,,,,,,,18,1.6574021055193253,COMPLETE
periodic,42,1.2585101776497876,2026-07-13 19:11:03.027221,2026-07-13 19:14:42.457965,0 days 00:03:39.430744,2,96,0.09814387692801341,0.438885216126868,0.4637785016343906,0.3221705283668768,0.00036605079057937923,3,256,1,1,32,5.277952361383225e-06,0.10891891437931918,0.14202177143500497,11.0,0.14698859599842157,0.3815941469404765,1.8502136640250684,,,,,,,19,1.2585101776497876,COMPLETE
periodic,43,1.8125489345997867,2026-07-13 19:14:42.572624,2026-07-13 19:18:33.347144,0 days 00:03:50.774520,2,96,0.05062200605625426,1.235220872333484,0.4591866598359,0.2943155198282021,0.0009154575631908646,3,256,1,1,64,9.90845562266036e-07,0.10739515189197846,0.12760974773361036,10.0,0.1297302561152416,0.5582643230612568,1.4967828285569946,,,,,,,18,1.8125489345997867,COMPLETE
periodic,44,1.9881016052629645,2026-07-13 19:18:33.462163,2026-07-13 19:23:02.380731,0 days 00:04:28.918568,2,96,0.0316667843256159,0.7410268414386394,0.11237631361742292,0.30158097564425185,0.0010208328490313708,3,256,1,1,64,1.4560306074678452e-07,0.12862223531119527,0.13963067000731827,13.0,0.13797664113759917,0.20688467513629427,0.6475591027798752,,,,,,,21,1.9881016052629645,COMPLETE
periodic,45,0.22448235144830758,2026-07-13 19:23:02.498888,2026-07-13 19:27:06.114433,0 days 00:04:03.615545,2,96,0.04906592326656575,1.3111181513800387,0.45595670201642274,0.29474728958632657,0.0009958228998180614,3,256,1,1,64,1.3305769606969817e-07,0.13990513735140364,0.14937688971015936,11.0,0.14539420340928094,0.4775788622671768,1.8487904757882159,,,,,,,19,0.22448235144830758,COMPLETE
periodic,46,1.2318040668582435,2026-07-13 19:27:06.232281,2026-07-13 19:30:54.646012,0 days 00:03:48.413731,2,96,0.026622561290527758,0.7467187278123333,0.4244793085945558,0.35178821273190286,0.001508461130452665,3,256,4,1,64,1.426911175520715e-06,0.11863290565864494,0.12861642773690013,6.0,0.11869138327917123,0.7876037793799436,1.3797199397037427,,,,,,,14,1.2318040668582435,COMPLETE
periodic,47,1.319889244198866,2026-07-13 19:30:54.763963,2026-07-13 19:34:19.547015,0 days 00:03:24.783052,2,96,0.06976718402636464,1.6079907173349697,0.1022107584532777,0.2932789016666908,0.0006916003509257033,2,256,1,1,64,2.4160209171606837e-07,0.10770521092539033,0.129100644782496,8.0,0.13107057633266475,0.30894916218480034,1.125644983537495,,,,,,,16,1.319889244198866,COMPLETE
periodic,48,1.866126521353329,2026-07-13 19:34:19.662276,2026-07-13 19:37:44.944295,0 days 00:03:25.282019,2,96,0.13160804444383684,0.874368589336671,0.3893651455854852,0.2558707064340411,0.0016263120750411243,3,256,1,1,64,8.54864506794778e-07,0.11610074114820843,0.133620608652321,8.0,0.14008840940659867,0.8990517446146686,0.864032625220716,,,,,,,16,1.866126521353329,COMPLETE
periodic,49,2.0189214144282617,2026-07-13 19:37:45.062126,2026-07-13 19:42:05.910205,0 days 00:04:20.848079,2,96,0.14117752835516556,0.918572909647914,0.49969958784355295,0.21435571722517488,0.0016259928966743148,3,256,4,1,64,1.0086409903612548e-07,0.12185557982302271,0.12422606197942514,8.0,0.14455250047224885,1.5243608584952733,1.4707149891803661,,,,,,,16,2.0189214144282617,COMPLETE
