variant,number,value,datetime_start,datetime_complete,duration,params_d_ff_mult,params_d_model,params_dropout,params_grad_clip,params_lambda_aux,params_lambda_aux2,params_lr,params_n_mlp_layers,params_path2_d_ff,params_path2_n_heads,params_path2_n_layers,params_ple_num_bins,params_weight_decay,user_attrs_best_base_corr_6m,user_attrs_best_corr_6m,user_attrs_best_epoch,user_attrs_best_path2_corr_6m,user_attrs_best_train_loss,user_attrs_best_val_loss,user_attrs_last_base_corr_6m,user_attrs_last_corr_6m,user_attrs_last_epoch,user_attrs_last_path2_corr_6m,user_attrs_last_train_loss,user_attrs_last_val_loss,user_attrs_n_epochs_trained,user_attrs_val_sharpe_ls,state
ple,30,0.009675839465732377,2026-08-02 03:18:24.671583,2026-08-02 03:19:36.318717,0 days 00:01:11.647134,2,96,0.09522721971053183,0.6201841805749535,0.4576578318773256,0.34985175282413455,0.004959265363792991,3,256,2,2,8,3.5853095816679707e-06,,,,,,,-0.09206317278246084,0.009675839465732377,6.0,0.04028240777552128,2.1440636075678325,3.4254060049851733,6,,PRUNED
ple,31,1.3100498611431974,2026-08-02 03:19:36.430288,2026-08-02 03:22:20.321655,0 days 00:02:43.891367,2,64,0.3647088455454842,1.4805024140274838,0.35108820130432244,0.184297164609713,0.00145333933826573,1,128,2,1,8,3.661697383365461e-07,0.10667728583794087,0.11257670382207531,9.0,0.11327966296424469,0.32051159061735407,0.7022085956918697,,,,,,,17,1.3100498611431974,COMPLETE
ple,32,1.4134261360300522,2026-08-02 03:22:20.433582,2026-08-02 03:25:16.920849,0 days 00:02:56.487267,2,64,0.3320247854670354,1.9819139555024043,0.38040324188380464,0.31434621586657563,0.0010090597271708505,2,256,2,1,16,1.1596628936971702e-06,0.09759818072974061,0.12746429936184236,10.0,0.12689866879178832,0.4214148529831113,1.219329971758028,,,,,,,18,1.4134261360300522,COMPLETE
ple,33,1.522317250740162,2026-08-02 03:25:17.032514,2026-08-02 03:28:39.354295,0 days 00:03:22.321781,2,64,0.29806334907308263,1.1681998283701838,0.20358929468210815,0.23097277929804422,0.0015069589784949924,3,256,2,1,32,1.8992332349848414e-07,0.12128780335964014,0.1361039230444779,12.0,0.12818374466151,0.6136679361123474,1.0646385202184319,,,,,,,20,1.522317250740162,COMPLETE
ple,34,1.650254443399204,2026-08-02 03:28:39.465841,2026-08-02 03:31:13.665802,0 days 00:02:34.199961,4,64,0.3580505871902445,1.6751166634664567,0.24658965006943806,0.16282443621292128,0.0004517950490194328,1,128,2,1,8,1.972327260509428e-05,0.12346526437904685,0.14969570079410915,8.0,0.14800490443594755,0.25039498865607174,0.9617458458834638,,,,,,,16,1.650254443399204,COMPLETE
ple,35,0.7018966145203692,2026-08-02 03:31:13.777843,2026-08-02 03:33:47.341697,0 days 00:02:33.563854,2,64,0.268434925653059,2.4338315233935437,0.4261445520252095,0.27739263945058124,0.0031510864136461616,3,512,1,1,32,1.6199940081672867e-06,0.08938964369396368,0.10162437556039852,9.0,0.10021043315452213,1.7080213473666281,0.9825896225248774,,,,,,,17,0.7018966145203692,COMPLETE
ple,36,0.8936216827352951,2026-08-02 03:33:47.453584,2026-08-02 03:37:02.982804,0 days 00:03:15.529220,4,128,0.39825424914670476,0.8574233325731269,0.4532549117989907,0.436980880888431,0.0025161248738347916,2,128,1,1,16,2.7789693476486336e-06,0.0480513254966354,0.12142816350678913,9.0,0.12335937597478429,2.251517322594448,1.7836897527178128,,,,,,,17,0.8936216827352951,COMPLETE
ple,37,0.6864093146867809,2026-08-02 03:37:03.093479,2026-08-02 03:40:51.277495,0 days 00:03:48.184016,2,64,0.22698589651130308,1.937472990599209,0.16048808253676608,0.2995475561472188,0.0011362875896065118,3,256,2,3,8,4.611317430770155e-07,0.11382827032745506,0.10317967204512873,10.0,0.052869522616189595,1.3512227227763525,1.1199185291926066,,,,,,,18,0.6864093146867809,COMPLETE
ple,38,1.5137616968795258,2026-08-02 03:40:51.389713,2026-08-02 03:44:23.594401,0 days 00:03:32.204688,4,128,0.31848775484306563,2.823317447726411,0.22685976885311124,0.36930837661788435,0.0007923853049254299,2,128,1,1,32,1.6101737478480824e-07,0.11886534239941587,0.14191285568522288,10.0,0.13933046753615297,0.5106229357059218,1.142669390514493,,,,,,,18,1.5137616968795258,COMPLETE
ple,39,2.151700217010231,2026-08-02 03:44:23.704838,2026-08-02 03:49:19.355559,0 days 00:04:55.650721,2,96,0.36701446083351974,3.383981709516593,0.13120261731719177,0.2628399277769206,9.709888171320963e-05,1,512,4,2,16,9.479207465870606e-06,0.11135332002983583,0.1344544637094562,6.0,0.13314822998751577,0.3964037777937298,0.8495525461932023,,,,,,,14,2.151700217010231,COMPLETE
ple,40,2.3025270931017547,2026-08-02 03:49:19.465812,2026-08-02 03:56:29.330306,0 days 00:07:09.864494,2,96,0.37752164908251784,3.914497736373888,0.1448791698954733,0.25311125128808504,8.375863283763538e-05,1,256,4,3,16,6.39299715942058e-05,0.08465350427043934,0.1365984220833828,7.0,0.13920418464113027,0.7418890966782494,0.7749177830914656,,,,,,,15,2.3025270931017547,COMPLETE
ple,41,1.8278050221351396,2026-08-02 03:56:29.441319,2026-08-02 04:05:04.779291,0 days 00:08:35.337972,2,96,0.380791023983196,3.9570565267281013,0.13817902022803533,0.24483095622279288,8.682462978045226e-05,1,256,4,3,16,7.30602913603642e-05,0.10068852298815424,0.12747607851827827,10.0,0.12838327104303365,0.22377493594669634,0.6018301700241864,,,,,,,18,1.8278050221351396,COMPLETE
ple,42,1.2231998874129095,2026-08-02 04:05:04.889937,2026-08-02 04:22:14.582927,0 days 00:17:09.692990,2,96,0.3674132619267384,3.2831594919390974,0.1309701751285837,0.31449431111318643,6.962390945897531e-05,1,256,4,3,16,0.0007678722953890732,0.11606512885385503,0.1353719421410157,28.0,0.1309148988026815,0.06634541432648557,0.5907538872833054,,,,,,,36,1.2231998874129095,COMPLETE
ple,43,2.006565834347181,2026-08-02 04:22:14.698526,2026-08-02 04:29:53.271146,0 days 00:07:38.572620,2,96,0.3385167123228139,4.33732188790404,0.17623250354625425,0.2717872153721121,0.0001426416174398235,1,256,4,3,16,4.0165634281094565e-05,0.12374643733201082,0.14689752933336422,8.0,0.14211821604209643,0.5097617295141967,0.7244979334374269,,,,,,,16,2.006565834347181,COMPLETE
ple,44,1.3926137839793755,2026-08-02 04:29:53.384792,2026-08-02 04:36:34.392376,0 days 00:06:41.007584,2,96,0.39918228349084967,3.5186398774685115,0.10159736133287886,0.21870016474902265,0.00012818668254599774,1,256,4,3,16,0.00017858589045109883,0.12670455184221888,0.14099143859930335,6.0,0.13929021202105407,0.5147581683057878,0.8501345147689183,,,,,,,14,1.3926137839793755,COMPLETE
ple,45,0.12228027121163905,2026-08-02 04:36:34.506865,2026-08-02 04:38:41.250475,0 days 00:02:06.743610,2,96,0.2785984104029884,3.9732609453266385,0.1405794115826295,0.343392901369457,0.0002479457303318512,1,256,4,2,16,0.0005482797482442179,,,,,,,0.10849362867884338,0.12228027121163905,6.0,0.11984193524112925,0.6394676291679461,1.323348655551672,6,,PRUNED
ple,46,1.4968268554872415,2026-08-02 04:38:41.362187,2026-08-02 04:45:22.240314,0 days 00:06:40.878127,2,96,0.23894548719041753,3.3519192049483237,0.18923521124095255,0.29654305948959125,8.824352902972118e-05,1,128,4,3,16,3.6727191324145826e-05,0.09495392984244973,0.1246608106729885,6.0,0.12568112911346058,0.5357902187499262,0.6563514528175195,,,,,,,14,1.4968268554872415,COMPLETE
ple,47,0.10430094525800086,2026-08-02 04:45:22.353028,2026-08-02 04:47:29.087199,0 days 00:02:06.734171,2,96,0.04099258861351163,4.610670941136444,0.12049628365071854,0.2636460634050437,0.00021316216836174827,1,256,4,2,16,8.68266008933336e-06,,,,,,,0.10997543083115792,0.10430094525800086,6.0,0.09338562327320687,0.4945977324109879,1.0517499398440122,6,,PRUNED
ple,48,0.5957628884309499,2026-08-02 04:47:29.199197,2026-08-02 04:57:03.332853,0 days 00:09:34.133656,2,96,0.30782707060710623,3.7369343956942966,0.20910922852535124,0.3944258962467808,5.423983265125887e-05,1,512,4,3,16,8.47752888832009e-05,0.12620610170221577,0.1593167395845133,12.0,0.15444688112863028,0.27415334185703644,1.048660061135888,,,,,,,20,0.5957628884309499,COMPLETE
ple,49,1.5435827270150049,2026-08-02 04:57:03.443393,2026-08-02 05:05:50.363574,0 days 00:08:46.920181,2,96,0.37070423955866405,2.9971477184328874,0.15935312336204252,0.3684072625372068,0.0001746721077875765,1,256,4,2,16,1.0090602313710263e-07,0.11834413893908884,0.1344190027254323,17.0,0.13109751303369802,0.18436303354951272,0.550439408235252,,,,,,,25,1.5435827270150049,COMPLETE
